alpha,beta,wer,cer
0.01,0.0,0.11244194573453924,0.2046896952667022
0.01,0.5,0.11146418968467367,0.2150089627440531
0.01,1.0,0.11121975067220728,0.22590959740322658
0.01,1.5,0.11170862869714006,0.23666489026694443
0.05,0.0,0.11586409190906868,0.20565864056973984
0.05,0.5,0.11439745783427036,0.21592946078193886
0.05,1.0,0.11219750672207285,0.2266847536456567
0.05,1.5,0.11244194573453924,0.237246257448767
0.1,0.0,0.11635296993400146,0.20565864056973984
0.1,0.5,0.11439745783427036,0.2164139334334577
0.1,1.0,0.11341970178440479,0.22707233176687175
0.1,1.5,0.1109753116597409,0.23763383556998208
0.5,0.0,0.1488633585920313,0.21268349401676276
0.5,0.5,0.14030799315570766,0.22242139431229108
0.5,1.0,0.13541921290637987,0.23244997819873067
0.5,1.5,0.1346858958689807,0.2432537183276004
1.0,0.0,0.3659252016621853,0.25720653069134247
1.0,0.5,0.35076998288926914,0.2696574778353762
1.0,1.0,0.3353703251038866,0.27886245821423383
1.0,1.5,0.33219261794182353,0.2917009834794826
2.0,0.0,0.9217795160107554,0.6190591541107504
2.0,0.5,0.9166462967489611,0.6506467709897776
2.0,1.0,0.9188462478611586,0.6575262826413449
2.0,1.5,0.9212906379858226,0.6766145051111865
5.0,0.0,0.9907113175262772,0.951455840317814
5.0,0.5,0.9902224395013444,0.9560583305072429
5.0,1.0,0.9909557565387436,0.9559129887117872
5.0,1.5,0.9899780004888781,0.9558645414466354
